prompt,modified_prompt
"gazing through a black archway to the void, black night, intricate high detail hd photo","gazing through a black archway to the void, black night, intricate high detail hd photo with dramatic shadows"
"walking down the catwalk, steven klein, show, stage, vogue photo, podium, fashion show photo, iris van herpen, beautiful woman, full body shot, helmet on face, masterpiece, plant predator, giger, guyver, jellyfish, biomechanical details, vibrant","walking down the catwalk, steven klein, show, stage, vogue photo, podium, fashion show photo, iris van herpen, beautiful woman, full body shot, helmet on face, masterpiece, plant predator, giger, guyver, jellyfish, biomechanical details, vibrant in high contrast"
"5 0 cent in the music video for playboi carti's meh, blue color palette","5 0 cent in the music video for playboi carti's meh, blue color palette with dim lighting"
"portrait of a Man by Greg Rutkowski, Han Solo as an Admiral of the Galactic Alliance, he is about 70 years old, wearing military navy uniform of the Galactic Alliance, Star Wars Expanded Universe, highly detailed portrait, digital painting, artstation, concept art, smooth, sharp foccus ilustration, Artstation HQ","portrait of a Man by Greg Rutkowski, Han Solo as an Admiral of the Galactic Alliance, he is about 70 years old, wearing military navy uniform of the Galactic Alliance, Star Wars Expanded Universe, highly detailed portrait, digital painting, artstation, concept art, smooth, sharp foccus ilustration, Artstation HQ with a cinematic atmosphere"
detailed color blueprint plans of a hard shell anthropomorphic warrior rhino beetle mecha. mathias kollros mark winters villeneuve lie setiawan lius lasahido manuel castanon. portrait vivid intricate vibrant elaborate inks unreal engine render.,detailed color blueprint plans of a hard shell anthropomorphic warrior rhino beetle mecha. mathias kollros mark winters villeneuve lie setiawan lius lasahido manuel castanon. portrait vivid intricate vibrant elaborate inks unreal engine render. in vibrant colors
"grim reaper, character portrait, sharp, digital matte painting, art by luis royo, greg rutkowski, wlop, dramatic lighting, trending on artstation","grim reaper, character portrait, sharp, digital matte painting, art by luis royo, greg rutkowski, wlop, dramatic lighting, trending on artstation with a cinematic atmosphere"
"great pyramid of giza in perfect condition, gleaming white, golden tip, concept art, stylized, intricate detail, smooth, sharp focus, colourful, art by artgerm and greg rutkowski and alphonse mucha,","great pyramid of giza in perfect condition, gleaming white, golden tip, concept art, stylized, intricate detail, smooth, sharp focus, colourful, art by artgerm and greg rutkowski and alphonse mucha, with dim lighting"
"portrait of a beautiful asian mongolian princess goddess spreading its wings, portrait of princess wearing a beautiful ornate crown, in the background lake baikal is seen, in the art style of bagshaw tom artgerm and bowater, charlie, by bagshaw tom, artgerm and bowater, charlie - - height 6 4 0","portrait of a beautiful asian mongolian princess goddess spreading its wings, portrait of princess wearing a beautiful ornate crown, in the background lake baikal is seen, in the art style of bagshaw tom artgerm and bowater, charlie, by bagshaw tom, artgerm and bowater, charlie - - height 6 4 0 in vibrant colors"
"hyperrealism close-up mythological portrait of a medieval blond female merged with huge number of flowers in style of classicism, pale skin, wearing silver silk robe, blue palette","hyperrealism close-up mythological portrait of a medieval blond female merged with huge number of flowers in style of classicism, pale skin, wearing silver silk robe, blue palette with a cinematic atmosphere"
"ancient moorish city by the sea by Annie Swynnerton and Nicholas Roerich and jean delville, strong dramatic cinematic lighting , ornate painted architecture, lost civilizations, smooth, sharp focus, extremely detailed","ancient moorish city by the sea by Annie Swynnerton and Nicholas Roerich and jean delville, strong dramatic cinematic lighting , ornate painted architecture, lost civilizations, smooth, sharp focus, extremely detailed with a cinematic atmosphere"
"portrait of a female soldier, highly detailed, high resolution, anime style, stunning, girls frontline style, bokeh soft, 3d rendering, guilty gear strive graphics, 100mm, trending on instagram, by professional photographer, realistic human anatomy, realistic military carrier, modern warfare, realistic weapon, shot with a arriflex 35 ii, low saturation, small eyes in the game environment and style of Cyberpunk 2077","portrait of a female soldier, highly detailed, high resolution, anime style, stunning, girls frontline style, bokeh soft, 3d rendering, guilty gear strive graphics, 100mm, trending on instagram, by professional photographer, realistic human anatomy, realistic military carrier, modern warfare, realistic weapon, shot with a arriflex 35 ii, low saturation, small eyes in the game environment and style of Cyberpunk 2077 with dim lighting"
The CC0 license as used by Stable Diffusion,The CC0 license as used by Stable Diffusion in vibrant colors
"a family swimming pool at a spa, in the water is a shark trying to attack the people","a family swimming pool at a spa, in the water is a shark trying to attack the people with dim lighting"
"an empty apartment with black walls and a sensual portrait of a female art student holding a brain, intravenous drip, pomegranate, seaweed, organic, sensual, pancakes, berries, octopus, surgical supplies, scientific glassware, art materials, candles, berry juice drips, neo - expressionism, surrealism, acrylic and spray paint and oilstick on canvas","an empty apartment with black walls and a sensual portrait of a female art student holding a brain, intravenous drip, pomegranate, seaweed, organic, sensual, pancakes, berries, octopus, surgical supplies, scientific glassware, art materials, candles, berry juice drips, neo - expressionism, surrealism, acrylic and spray paint and oilstick on canvas in vibrant colors"
"real-life Harley Quinn, cinematic, Wide-shot, atmospheric lighting, directed by Quentin Tarantino, extreme detail, 8K, movie still","real-life Harley Quinn, cinematic, Wide-shot, atmospheric lighting, directed by Quentin Tarantino, extreme detail, 8K, movie still with dramatic shadows"
food engine company name,food engine company name with dramatic shadows
an ultra - realistic portrait painting of shaggy rogers in the style of alex ross. 4 k. ultra - realistic. highly detailed. epic lighting.,an ultra - realistic portrait painting of shaggy rogers in the style of alex ross. 4 k. ultra - realistic. highly detailed. epic lighting. with a cinematic atmosphere
"Geralt witcher as a butcher with axe in his hand, shot from professional camera, ultra realistic, rim light, beatiful vivid lights","Geralt witcher as a butcher with axe in his hand, shot from professional camera, ultra realistic, rim light, beatiful vivid lights in vibrant colors"
"Fantasy dessert marketplace in marble and gold, digital art, trending on artstation","Fantasy dessert marketplace in marble and gold, digital art, trending on artstation with dramatic shadows"
"klaus schwab in the style of cuban communist propaganda poster art in the year 1 9 8 7 ultra realistic, concept art, intricate details, highly detailed, photorealistic, octane render, 8 k, unreal engine. art by artgerm and magali villeneuve","klaus schwab in the style of cuban communist propaganda poster art in the year 1 9 8 7 ultra realistic, concept art, intricate details, highly detailed, photorealistic, octane render, 8 k, unreal engine. art by artgerm and magali villeneuve in high contrast"
"Whispers that fade into the air, armor that once shone, towers in the air, without supports, they collapse. Huge castles, teeming with life; now only travellers arrive in fantasy land ships. That castle had only two towers, but twenty more were buried in the sand, hidden from view. Totally empty, surrounded by fields, surrounded by moats. Cold wind grey and blue, specks of black snow carries. Violet flowers dying in the mud, butterflies burning at the stake. The sun and the sky are only known, every afternoon, from behind, the sun stabs his friend. Deep waters erased the valley from existence, quiet fish now inhabited the castle. Better end up sunk in the water that fearing the shadow of the black city. Wise words floated in the air, but distrust, like a poison, emanated: but the black city disappeared. That's right, lost inhabitant, but it can appear again, Style of korean traditional folktale painting by Shin Yun-bok","Whispers that fade into the air, armor that once shone, towers in the air, without supports, they collapse. Huge castles, teeming with life; now only travellers arrive in fantasy land ships. That castle had only two towers, but twenty more were buried in the sand, hidden from view. Totally empty, surrounded by fields, surrounded by moats. Cold wind grey and blue, specks of black snow carries. Violet flowers dying in the mud, butterflies burning at the stake. The sun and the sky are only known, every afternoon, from behind, the sun stabs his friend. Deep waters erased the valley from existence, quiet fish now inhabited the castle. Better end up sunk in the water that fearing the shadow of the black city. Wise words floated in the air, but distrust, like a poison, emanated: but the black city disappeared. That's right, lost inhabitant, but it can appear again, Style of korean traditional folktale painting by Shin Yun-bok in high contrast"
"cathedral made of bones, dragons fighting in the air, hellscape by beksinski","cathedral made of bones, dragons fighting in the air, hellscape by beksinski in vibrant colors"
"Disposable camera photo of a provocative techwear packed busy rundown nightclub, lots of people, males and females breakdancing, variety of sharp sparkly creepy masks, harnesses and garters, tactical vests and holsters, some people holding drinks or have robot limbs or have cybernetic mods, tattoos and piercings, retrofuturism, brutalism, cyberpunk, sigma 85mm f/1.4, 15mm, 35mm, tilted frame, long exposure, 4k, high resolution, 4k, 8k, hd, wide angle lens, highly detailed, full color, harsh light and shadow, intoxicatingly blurry","Disposable camera photo of a provocative techwear packed busy rundown nightclub, lots of people, males and females breakdancing, variety of sharp sparkly creepy masks, harnesses and garters, tactical vests and holsters, some people holding drinks or have robot limbs or have cybernetic mods, tattoos and piercings, retrofuturism, brutalism, cyberpunk, sigma 85mm f/1.4, 15mm, 35mm, tilted frame, long exposure, 4k, high resolution, 4k, 8k, hd, wide angle lens, highly detailed, full color, harsh light and shadow, intoxicatingly blurry in high contrast"
cat,cat in vibrant colors
photograph of a knight with falcon armour. extremely detailed. dslr. 8 5 mm. 8 k,photograph of a knight with falcon armour. extremely detailed. dslr. 8 5 mm. 8 k in high contrast
"salesman robot with shifty eyes portrait, grant wood, pj crook, edward hopper, oil on canvas","salesman robot with shifty eyes portrait, grant wood, pj crook, edward hopper, oil on canvas in vibrant colors"
"Emma Watson as a cyborg android Terminator from the terminator movie, digital painting, artstation, concept art, sharp focus, illustration, art by greg rutkowski and alphonse mucha, highly detailed","Emma Watson as a cyborg android Terminator from the terminator movie, digital painting, artstation, concept art, sharp focus, illustration, art by greg rutkowski and alphonse mucha, highly detailed with dramatic shadows"
"trapped in a concrete room with a non human monster who is half submerged, ready to eat, pov underwater, waterfalls from sewer pipes, thalassophobia, dark yellowish water, showing anger, pale skin, dark foggy water, dark, dramatic,'silent hill ', terrifying, horror, fear, big eyes, alluring, cinematic","trapped in a concrete room with a non human monster who is half submerged, ready to eat, pov underwater, waterfalls from sewer pipes, thalassophobia, dark yellowish water, showing anger, pale skin, dark foggy water, dark, dramatic,'silent hill ', terrifying, horror, fear, big eyes, alluring, cinematic in vibrant colors"
"A gothic church lit by the full moon, ultra realistic, epic lighting,epic clouds, cinematographic, 8K , award winning","A gothic church lit by the full moon, ultra realistic, epic lighting,epic clouds, cinematographic, 8K , award winning with a cinematic atmosphere"
"gandalf visiting disneyland, highly detailed, digital art,","gandalf visiting disneyland, highly detailed, digital art, in high contrast"
"glowwave portrait of curly orange hair girls made of feathers mist and cloud from overwatch, au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, 3 d octane rendered, art style by pixar dreamworks warner bros disney riot games and overwatch.","glowwave portrait of curly orange hair girls made of feathers mist and cloud from overwatch, au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, 3 d octane rendered, art style by pixar dreamworks warner bros disney riot games and overwatch. in high contrast"
"Carey Price, An anime Nendoroid of Carey Price, Montreal Habs Canadien figurine, detailed product photo","Carey Price, An anime Nendoroid of Carey Price, Montreal Habs Canadien figurine, detailed product photo in vibrant colors"
"foam coming out of the cracks of a door, 4 5 mm lens, horror movie, cinematic, unsettling, david cronenberg,","foam coming out of the cracks of a door, 4 5 mm lens, horror movie, cinematic, unsettling, david cronenberg, with dramatic shadows"
"rear shot hyperdetailed elegant beautiful stunning hot sexy giantess anthropomorphic mecha female dragon goddess, sharp spines, sharp metal ears, smooth purple eyes, smooth fuschia skin, silver armor, in space, epic proportions, epic scale, epic size, warframe destiny fanart, furry, dragon art, goddess art, giantess art, furaffinity, octane render","rear shot hyperdetailed elegant beautiful stunning hot sexy giantess anthropomorphic mecha female dragon goddess, sharp spines, sharp metal ears, smooth purple eyes, smooth fuschia skin, silver armor, in space, epic proportions, epic scale, epic size, warframe destiny fanart, furry, dragon art, goddess art, giantess art, furaffinity, octane render in vibrant colors"
"family portrait of duke leto atreides and prince paul atreides, dune, in the style of yamato - e, traditional japanese, tosa school, tosa mitsuoki, tosa mitsunobu, iwasa matabei.","family portrait of duke leto atreides and prince paul atreides, dune, in the style of yamato - e, traditional japanese, tosa school, tosa mitsuoki, tosa mitsunobu, iwasa matabei. with a cinematic atmosphere"
"human need death angel, realistic, art by tafy laplanche, colored by masashi kishimoto","human need death angel, realistic, art by tafy laplanche, colored by masashi kishimoto in vibrant colors"
"single flooded surreal tree, very coherent and colorful high contrast!! masterpiece by rene magritte simon stalenhag carl spitzweg syd mead norman rockwell edward hopper james gilleard, minimalist, dark shadows, sunny day, hard lighting","single flooded surreal tree, very coherent and colorful high contrast!! masterpiece by rene magritte simon stalenhag carl spitzweg syd mead norman rockwell edward hopper james gilleard, minimalist, dark shadows, sunny day, hard lighting in vibrant colors"
Harry Potter next to Will Smith in Fresh Prince of Bell Air,Harry Potter next to Will Smith in Fresh Prince of Bell Air in high contrast
Abe was a Forgotten Beast. A towering humanoid composed of rose gold. It has a gaunt appearance. Its grey fur is matted. Beware its deadly gas!,Abe was a Forgotten Beast. A towering humanoid composed of rose gold. It has a gaunt appearance. Its grey fur is matted. Beware its deadly gas! with a cinematic atmosphere
"the world tree, extremly detailed digital painting, vibrant colors, in the style of tomasz alen kopera and fenghua zhong and peter mohrbacher, mystical colors, rim light, beautiful lighting, 8 k, stunning scene, raytracing, octane, trending on artstation","the world tree, extremly detailed digital painting, vibrant colors, in the style of tomasz alen kopera and fenghua zhong and peter mohrbacher, mystical colors, rim light, beautiful lighting, 8 k, stunning scene, raytracing, octane, trending on artstation in vibrant colors"
"mite brotherhood of the scourge, art by noriyoshi ohrai and paul youll and steve fiorilla, trending on artstation, rembrandt lighting tilt - shift polaroid, epic fantasy, retrowave, hyperrealism, luminism","mite brotherhood of the scourge, art by noriyoshi ohrai and paul youll and steve fiorilla, trending on artstation, rembrandt lighting tilt - shift polaroid, epic fantasy, retrowave, hyperrealism, luminism with dramatic shadows"
"meadow of luminous mushrooms Neonothopanus gardneri in the forest, mysterious fog, wee hours, photo realism, Sony a7R","meadow of luminous mushrooms Neonothopanus gardneri in the forest, mysterious fog, wee hours, photo realism, Sony a7R with a cinematic atmosphere"
"A full color still from a Stanley Kubrick film featuring a Balrog in Moria, practical effects, 35mm, 1975","A full color still from a Stanley Kubrick film featuring a Balrog in Moria, practical effects, 35mm, 1975 with dramatic shadows"
"hyper realistic photographer taking a picture, magical, gems, jewels, gold, steampunk, cyberpunk utopia, painted by tom bagshaw, mucha, gaston bussiere, craig mullins, j. c. leyendecker 8 k","hyper realistic photographer taking a picture, magical, gems, jewels, gold, steampunk, cyberpunk utopia, painted by tom bagshaw, mucha, gaston bussiere, craig mullins, j. c. leyendecker 8 k with dim lighting"
"dwayne johnson as batman dreamlike with jewelry, character art, hyperdetailed, 8 k realistic, frostbite 3 engine, cryengine, dof, trending on artstation, digital art","dwayne johnson as batman dreamlike with jewelry, character art, hyperdetailed, 8 k realistic, frostbite 3 engine, cryengine, dof, trending on artstation, digital art in high contrast"
an epic painting of the last human struggling to defeat a mechanical art machine,an epic painting of the last human struggling to defeat a mechanical art machine in vibrant colors
"robotic cats, grant wood, pj crook, edward hopper, oil on canvas","robotic cats, grant wood, pj crook, edward hopper, oil on canvas in high contrast"
"portrait of a mecha cyborg girl with human tattoos, intricate, octane render, ultra-fine detailed, character design, trending on artstation","portrait of a mecha cyborg girl with human tattoos, intricate, octane render, ultra-fine detailed, character design, trending on artstation in vibrant colors"
3d render of voxel pink elephant,3d render of voxel pink elephant with a cinematic atmosphere
"cinematic film still of Michael Jackson starring as a Samurai holding fire, Japanese CGI, VFX, 2022, 40mm lens, shallow depth of field, film photography","cinematic film still of Michael Jackson starring as a Samurai holding fire, Japanese CGI, VFX, 2022, 40mm lens, shallow depth of field, film photography with dim lighting"
jim pickens peeping through a house window,jim pickens peeping through a house window in high contrast
"plumbus, more plumbusser","plumbus, more plumbusser with dramatic shadows"
"Hyperrealistic beautiful sexy ethereal national geographic magazine cover white north pole girl portrait, art nouveau, fantasy, intricate flower designs, elegant, highly detailed, sharp focus, art by Artgerm and Greg Rutkowski and WLOP","Hyperrealistic beautiful sexy ethereal national geographic magazine cover white north pole girl portrait, art nouveau, fantasy, intricate flower designs, elegant, highly detailed, sharp focus, art by Artgerm and Greg Rutkowski and WLOP in high contrast"
When the fireworks are in full bloom by oil painting， clear background,When the fireworks are in full bloom by oil painting， clear background in vibrant colors
children's book style illustration of a grumpy raccoon eating an avocado,children's book style illustration of a grumpy raccoon eating an avocado in high contrast
"audrey hepburn cyberpunked, synthwave poster, glitch art background,","audrey hepburn cyberpunked, synthwave poster, glitch art background, with a cinematic atmosphere"
"priestess of everyday embarrasment in the icy mountains. gouache painting by indie concept artist, chiaroscuro, bokeh, backlighting, field of depth","priestess of everyday embarrasment in the icy mountains. gouache painting by indie concept artist, chiaroscuro, bokeh, backlighting, field of depth in vibrant colors"
"ivern league of legends wild rift hero champions arcane fantasy digital painting bioluminance alena aenami artworks in 4 k design by lois van baarle by sung choi by john kirby artgerm and greg rutkowski and magali villeneuve tank support marksman mage fighter assassin,","ivern league of legends wild rift hero champions arcane fantasy digital painting bioluminance alena aenami artworks in 4 k design by lois van baarle by sung choi by john kirby artgerm and greg rutkowski and magali villeneuve tank support marksman mage fighter assassin, with a cinematic atmosphere"
"A close-up of a beautiful girl with a surreal makeup reminding the swiss flag, octane render, bokeh, cyberpunk vibes, neons on the background","A close-up of a beautiful girl with a surreal makeup reminding the swiss flag, octane render, bokeh, cyberpunk vibes, neons on the background with a cinematic atmosphere"
"By Tom Bagshaw, ultra realist soft painting of a curiosities carnival spikes flowers and tentacles by night, very beautiful dark eyed female dollpunk in full long dress, symmetry accurate features, very intricate details, omnious sky, black and white, volumetric light clouds","By Tom Bagshaw, ultra realist soft painting of a curiosities carnival spikes flowers and tentacles by night, very beautiful dark eyed female dollpunk in full long dress, symmetry accurate features, very intricate details, omnious sky, black and white, volumetric light clouds in vibrant colors"
"titanic crocodile lair, cinematographic shot, deep focus, d & d, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, matte, sharp focus, illustration, hearthstone, art by artgerm and greg rutkowski and alphonse mucha","titanic crocodile lair, cinematographic shot, deep focus, d & d, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, matte, sharp focus, illustration, hearthstone, art by artgerm and greg rutkowski and alphonse mucha with dramatic shadows"
"elon musk as a cat girl render as a very beautiful 3d anime girl, hot petite, long braided hair, hazel eyes, full round face, short smile, cinematic lightning, medium shot, mid-shot, highly detailed, trending on Artstation, Unreal Engine 4k, cinematic wallpaper","elon musk as a cat girl render as a very beautiful 3d anime girl, hot petite, long braided hair, hazel eyes, full round face, short smile, cinematic lightning, medium shot, mid-shot, highly detailed, trending on Artstation, Unreal Engine 4k, cinematic wallpaper with a cinematic atmosphere"
"coffee, dale cooper drowning in coffee, waves of black liquid, painting by jc leyendecker! phil hale!, lynchian!!!! ominious, dark lighting, angular, brush strokes, painterly, vintage, crisp","coffee, dale cooper drowning in coffee, waves of black liquid, painting by jc leyendecker! phil hale!, lynchian!!!! ominious, dark lighting, angular, brush strokes, painterly, vintage, crisp in vibrant colors"
overweight 2 0 year old with messy black hair and big beard cooks mac and cheese late at night,overweight 2 0 year old with messy black hair and big beard cooks mac and cheese late at night with dim lighting
"a laughing man sitting by the window, a slim woman in the background, norman rockwell","a laughing man sitting by the window, a slim woman in the background, norman rockwell with dim lighting"
"epic portrait mona lisa eating an apple, beauty, pretty face, glossy skin, shiny, wet hair, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration, fantasy, intricate, elegant, highly detailed, D&D, matte painting, in the style of Greg Rutkowski and Alphonse Mucha and artemisia, 8k, highly detailed, jurgens, rutkowski, bouguereau, pastoral, rustic, georgic","epic portrait mona lisa eating an apple, beauty, pretty face, glossy skin, shiny, wet hair, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration, fantasy, intricate, elegant, highly detailed, D&D, matte painting, in the style of Greg Rutkowski and Alphonse Mucha and artemisia, 8k, highly detailed, jurgens, rutkowski, bouguereau, pastoral, rustic, georgic in high contrast"
"dragon, d & d, fantasy, breathing fire over city","dragon, d & d, fantasy, breathing fire over city with a cinematic atmosphere"
"white female anthro wolf skating at a roller derby, 4 k, furaffinity, trending on artstation, energetic, speed, motion blur, by gaston bussiere, craig mullins, j. c. leyendecker, gustav klimt, artgerm, greg rutkowski, alphonse mucha","white female anthro wolf skating at a roller derby, 4 k, furaffinity, trending on artstation, energetic, speed, motion blur, by gaston bussiere, craig mullins, j. c. leyendecker, gustav klimt, artgerm, greg rutkowski, alphonse mucha with a cinematic atmosphere"
"portrait of laz alonso, hyper detailed ultra sharp aztec shaman warrior. trending on artstation, warpaint aesthetic, bloodwave, colorful, psychedelic, ornate, intricate, digital painting, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and h. r. giger, 8 k","portrait of laz alonso, hyper detailed ultra sharp aztec shaman warrior. trending on artstation, warpaint aesthetic, bloodwave, colorful, psychedelic, ornate, intricate, digital painting, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and h. r. giger, 8 k in high contrast"
"irresistible man staring through a window, rainy day cafe painting by gaston bussiere, craig mullins, j. c. leyendecker","irresistible man staring through a window, rainy day cafe painting by gaston bussiere, craig mullins, j. c. leyendecker in vibrant colors"
"Nebula fractal, lots of detail","Nebula fractal, lots of detail with dramatic shadows"
avalon ballroom poster art,avalon ballroom poster art with dim lighting
"A Dodo bird perched atop a Saguaro cactus in the desert, digital art, trending on Artstation, high detail, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha.","A Dodo bird perched atop a Saguaro cactus in the desert, digital art, trending on Artstation, high detail, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha. in high contrast"
"isekai masterpiece by mandy jurgens, by irina french, by rachel walpole, by alyn spiller anime woman standing tree log looking up at giant crystals, high noon, cinematic, very warm colors, intense shadows, ominous clouds, anime illustration, anime screenshot composite background","isekai masterpiece by mandy jurgens, by irina french, by rachel walpole, by alyn spiller anime woman standing tree log looking up at giant crystals, high noon, cinematic, very warm colors, intense shadows, ominous clouds, anime illustration, anime screenshot composite background in high contrast"
"kodak portra 4 0 0 photographic and realistic, interior of a living room, detailed, octane render, unreal engine, 4 k, artstation, hyper realistic, wide angle, floor flooded with sand, desert, dunes, objects partially buried, 3 5 mm, sharp focus, soft light, volumetric light, in the style of gregory crewdson","kodak portra 4 0 0 photographic and realistic, interior of a living room, detailed, octane render, unreal engine, 4 k, artstation, hyper realistic, wide angle, floor flooded with sand, desert, dunes, objects partially buried, 3 5 mm, sharp focus, soft light, volumetric light, in the style of gregory crewdson with dramatic shadows"
"winnie the pooh posing with george clooney and john turturro, oh brother, where art thou film","winnie the pooh posing with george clooney and john turturro, oh brother, where art thou film with dim lighting"
"geometric smiling moon symbol by karl gerstner, monochrome, symmetrical","geometric smiling moon symbol by karl gerstner, monochrome, symmetrical in high contrast"
"🙉, clash royal style characters, unreal engine 5, octane render, detailed, brawl stars, cinematografic, cinema 4 d, artstation trending","🙉, clash royal style characters, unreal engine 5, octane render, detailed, brawl stars, cinematografic, cinema 4 d, artstation trending with dim lighting"
"hephaestus, sebastien chabal, blacksmith, leather apron, d & d, fantasy, portrait, highly detailed, headshot, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve","hephaestus, sebastien chabal, blacksmith, leather apron, d & d, fantasy, portrait, highly detailed, headshot, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve in vibrant colors"
"a award winning half body portrait of a beautiful woman with stunning eyes in a croptop and cargo pants with hair like rainbow colored smoke by josan gonzales, outlined by whirling illuminated neon lines, outrun, vaporware, shaded flat illustration, digital art, trending on artstation, highly detailed, fine detail, intricate","a award winning half body portrait of a beautiful woman with stunning eyes in a croptop and cargo pants with hair like rainbow colored smoke by josan gonzales, outlined by whirling illuminated neon lines, outrun, vaporware, shaded flat illustration, digital art, trending on artstation, highly detailed, fine detail, intricate with a cinematic atmosphere"
bright green frog warrior by greg hildebrandt. nintendo power hd poster from 9 0 s.,bright green frog warrior by greg hildebrandt. nintendo power hd poster from 9 0 s. with dim lighting
"a technogaianist long-haired blonde digital musician playing modular synthesizer in the forest, technology and nature in harmony, postmodern surrealist concert poster, grainy, hand drawn matte painting by Tara McPherson and Gary Houston, smooth, sharp focus, extremely detailed.","a technogaianist long-haired blonde digital musician playing modular synthesizer in the forest, technology and nature in harmony, postmodern surrealist concert poster, grainy, hand drawn matte painting by Tara McPherson and Gary Houston, smooth, sharp focus, extremely detailed. with dim lighting"
"painting of disneyland, illustration, artistic, colorful, hyper detailed, in the style of Greg Rutkowski","painting of disneyland, illustration, artistic, colorful, hyper detailed, in the style of Greg Rutkowski in high contrast"
"Portrait of a woman, close-up, high sharpness, zeiss lens, fashion photo shoot, peony flowers, red hair, red lipstick, in the background of gold, on their face stratsEnni Leibovitz and Steve McCurry, David Lazar, Zhong Lin, Jimmy Nelsson, Eiko Hosoe , artistic, hyper-realistic, beautiful face, octane rendering","Portrait of a woman, close-up, high sharpness, zeiss lens, fashion photo shoot, peony flowers, red hair, red lipstick, in the background of gold, on their face stratsEnni Leibovitz and Steve McCurry, David Lazar, Zhong Lin, Jimmy Nelsson, Eiko Hosoe , artistic, hyper-realistic, beautiful face, octane rendering in high contrast"
"digital painted!!!!!!!! stylized wood texture, painterly, digital art, artstation","digital painted!!!!!!!! stylized wood texture, painterly, digital art, artstation with a cinematic atmosphere"
"high quality high detail painting by lucian freud and jenny saville, hd, full body of a indigenous tribe leader, turquoise color, photorealistic lighting","high quality high detail painting by lucian freud and jenny saville, hd, full body of a indigenous tribe leader, turquoise color, photorealistic lighting with a cinematic atmosphere"
"portrait of a programmer with green hood by greg rutkowski, digital","portrait of a programmer with green hood by greg rutkowski, digital with dim lighting"
"morgan freeman starring as gimli in lord of the rings, full body, high detail shot, smoking, render, cgsociety, photorealism","morgan freeman starring as gimli in lord of the rings, full body, high detail shot, smoking, render, cgsociety, photorealism in high contrast"
hyper-realistic splashart illustration of kakashi hatake drawn by dao trong le,hyper-realistic splashart illustration of kakashi hatake drawn by dao trong le in high contrast
"samurai skeleton dark, d & d, blue eyes, dark fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha","samurai skeleton dark, d & d, blue eyes, dark fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha with a cinematic atmosphere"
"lifestyle portrait of a girl in a golden dress with over a black background, photography, smooth, sharp focus, turning head","lifestyle portrait of a girl in a golden dress with over a black background, photography, smooth, sharp focus, turning head in high contrast"
heiken ashi chart of tsla,heiken ashi chart of tsla with dramatic shadows
"portrait of a plasma energy tron dinosaur egg in the shape of a random geometric shape, made up of glowing electric plates and patterns. cinestill","portrait of a plasma energy tron dinosaur egg in the shape of a random geometric shape, made up of glowing electric plates and patterns. cinestill with dim lighting"
“portrait of racoon in the style of metamask with laser eyes”,“portrait of racoon in the style of metamask with laser eyes” with a cinematic atmosphere
"in-game screenshot of Super Smash Bros. Ultimate, 3d render, Unreal Engine, octane render, ray tracing, Unity, highly detailed, high quality, HD, 4k, 8k, realistic, sharp, trending","in-game screenshot of Super Smash Bros. Ultimate, 3d render, Unreal Engine, octane render, ray tracing, Unity, highly detailed, high quality, HD, 4k, 8k, realistic, sharp, trending with dramatic shadows"
a dragon made by Zdzislaw Beksinski,a dragon made by Zdzislaw Beksinski with a cinematic atmosphere
"photo from distance of a black man with long curly hair, carrying a electric guitar, walking out of from the universe's door, film still from the movie directed by Denis Villeneuve with art direction by Zdzisław Beksiński, wide lens","photo from distance of a black man with long curly hair, carrying a electric guitar, walking out of from the universe's door, film still from the movie directed by Denis Villeneuve with art direction by Zdzisław Beksiński, wide lens in high contrast"
"Shrek as the Speaker of the United States House of Representatives, high detail","Shrek as the Speaker of the United States House of Representatives, high detail with dramatic shadows"
"split face Uchiha Madara poster, epic artwork, anime painting, extremely detailed, trending on Artstation, award-winning art","split face Uchiha Madara poster, epic artwork, anime painting, extremely detailed, trending on Artstation, award-winning art with dramatic shadows"
